song_no,title,artist,lyrics,score
37390939,소나기,이클립스 (ECLIPSE),"그치지 않기를 바랬죠
처음 그대 내게로 오던 그날에
잠시 동안 적시는
그런 비가 아니길
간절히 난 바래왔었죠
그대도 내 맘 아나요
매일 그대만 그려왔던 나를
오늘도 내 맘에 스며들죠
그대는 선물입니다 
하늘이 내려준 
홀로 선 세상 속에
그댈 지켜줄게요
어느 날 문득  
소나기처럼 
내린 그대지만 
오늘도 불러 봅니다 
내겐 소중한 사람
Oh 
떨어지는 빗물이
어느새 날 깨우고
그대 생각에 잠겨요
이제는 내게로 와요
언제나처럼 기다리고 있죠
그대 손을 꼭 잡아줄게요
그대는 선물입니다 
하늘이 내려준 
홀로 선 세상 속에
그댈 지켜줄게요
어느 날 문득  
소나기처럼 
내린 그대지만 
오늘도 불러 봅니다 
내겐 소중한 사람
잊고 싶던 아픈 기억들도
빗방울과 함께 흘려보내면 돼요
때로는 지쳐도
하늘이 흐려도
내가 있다는 걸 잊지 말아요
그대는 사랑입니다 
하나뿐인 사랑 
다시는 그대와 같은 
사랑 없을 테니
잊지 않아요
내게 주었던
작은 기억 하나도
오늘도 새겨봅니다 
내겐 선물인 그댈","[0.03392175916097003, 0.4328245511931094, 0.026476705747296374, 0.07409046001990158, 0.03712223800989289, 0.3955642858688297]"
32061975,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),"일부러 몇 발자국 물러나
내가 없이 혼자 걷는 널 바라본다
옆자리 허전한 너의 풍경
흑백 거리 가운데 넌 뒤돌아본다
그때 알게 되었어
난 널 떠날 수 없단 걸
우리 사이에 그 어떤 힘든 일도
이별보단 버틸 수 있는 것들이었죠
어떻게 이별까지 사랑하겠어
널 사랑하는 거지
사랑이라는 이유로
서로를 포기하고
찢어질 것같이 아파할 수 없어 난
두세 번 더 길을 돌아갈까
적막 짙은 도로 위에 걸음을 포갠다
아무 말 없는 대화 나누며
주마등이 길을 비춘 먼 곳을 본다
그때 알게 되었어
난 더 갈 수 없단 걸
한 발 한 발 이별에 가까워질수록
너와 맞잡은 손이 사라지는 것 같죠
어떻게 이별까지 사랑하겠어
널 사랑하는 거지
사랑이라는 이유로
서로를 포기하고
찢어질 것같이 아파할 수 없어 난
어떻게 내가 어떻게 너를
이후에 우리 바다처럼 깊은 사랑이
다 마를 때까지
기다리는 게 이별일 텐데
어떻게 내가 어떻게 너를
이후에 우리 바다처럼 깊은 사랑이
다 마를 때까지
기다리는 게 이별일 텐데","[0.06286803718412522, 0.5368478837945895, 0.1264094488184265, 0.14797214340006254, 0.12085703570170489, 0.005045451101091326]"
37228861,천상연,이창섭,"아니길 바랬었어
꿈이길 기도했지
너 없는 가슴으로 살아가야 하는 건
내게는 너무 힘겨운걸
그렇게 사랑했던
너무도 소중했던
지난날이 서러워 자꾸 눈물이 흘러
내 삶은 너뿐인데
사랑해 널 잊을 순 없을 거야
미안해 너를 지키지 못한 것을
너의 행복한 모습 나 보기를 원해
부디 새롭게 시작하길 바래
하늘이 우리를 갈라 놓지만
눈물로 너를 보내려고 하지만
너를 얼마나 내가 사랑했는 줄 아니
영원히 너를 지켜보며 살 거야
행복하길 바래
그렇게 사랑했던
너무도 소중했던
지난날이 서러워 자꾸 눈물이 흘러
내 삶은 너뿐인데
사랑해 널 잊을 순 없을 거야
미안해 너를 지키지 못한 것을
너의 행복한 모습 나 보기를 원해
부디 새롭게 시작하길 바래
하늘이 우리를 갈라 놓지만
눈물로 너를 보내려고 하지만
너를 얼마나 내가 사랑했는 줄 아니
영원히 너를 지켜보며 살 거야
행복하길 바래
널 사랑해
미안해 너를 지키지 못한 것을
너의 행복한 모습 나 보기를 원해
부디 새롭게 시작하길 바래
행복하길 바래","[0.037986261516169045, 0.7824297645547604, 0.027286639044624774, 0.0922379548666919, 0.05329640897662556, 0.006762971041128323]"
37069064,슬픈 초대장,순순희(지환),"내 야윈 손위로 온 초대장 위에
널 데려간다는 그와 네 이름
오래전 헤어지던 날
자꾸 내 눈앞에 스쳐
혼자서도 난 서글픈데
수화기 너머로 젖은 네 목소리
그때 왜 날 보내줬냐고
첨부터 널 사랑했다면
마지막까지 붙잡아야 했다고
그 많은 사연들 다 버려둔 채로
날 떠난 너였잖아
지금 그를 사랑한다면서
왜 이제 와서 또 바보처럼 흔들려
누굴 위해 돌아봐
아픈 가슴 추억으로 달래며
네 행복을 믿었는데
차라리 날 다 지워버려
넌 그를 택한 세상에 후회하지 않도록 
남들처럼 나도 멀리서 나마
축하하고 싶으니
다 기억할 만큼 모질지 못한 너
날 두 번 울리잖아
되돌리긴 너무 늦었는데
왜 이제 와서 또 바보처럼 흔들려
누굴 위해 돌아봐
아픈 가슴 추억으로 달래며
네 행복을 믿었는데
차라리 날 다 지워버려
넌 그를 택한 세상에 후회하지 않도록
남들처럼 나도 멀리서 나마
축하하고 싶으니
부디 가서 영원해 줘","[0.2558765028687297, 0.4529728678575997, 0.032713337115060685, 0.16420046865277363, 0.09253621707639123, 0.0017006064294450625]"
37145732,Love wins all,아이유,"Dearest, Darling, My universe
날 데려가 줄래?
나의 이 가난한 상상력으론
떠올릴 수 없는 곳으로
저기 멀리 from Earth to Mars
꼭 같이 가줄래?
그곳이 어디든, 오랜 외로움
그 반대말을 찾아서 
어떤 실수로 
이토록 우리는 
함께일까
세상에게서 도망쳐 Run on
나와 저 끝까지 가줘 My lover
나쁜 결말일까 길 잃은 우리 둘 um
부서지도록 나를 꼭 안아
더 사랑히 내게 입 맞춰 Lover
Love is all Love is all
Love Love Love Love
결국, 그럼에도,
어째서 우리는
서로일까
세상에게서 도망쳐 Run on
나와 저 끝까지 가줘 My lover
나쁜 결말일까 길 잃은 우리 둘 um
찬찬히 너를 두 눈에 담아
한 번 더 편안히 웃어주렴
유영하듯 떠오른
그날 그 밤처럼,
나와 함께 겁 없이
저물어줄래? 
산산히 나를 더 망쳐 Ruiner
너와 슬퍼지고 싶어 My lover
필연에게서 도망쳐 Run on
나와 저 끝까지 가줘 My lover
일부러 나란히 길 잃은 우리 두 사람
부서지도록 나를 꼭 안아
더 사랑히 내게 입 맞춰 Lover
Our Love wins all Love wins all
Love Love Love Love","[0.1830405673873152, 0.17369259993203487, 0.18208195199673302, 0.09258441792466257, 0.14766168053600348, 0.22093878222325086]"
36699489,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),"날 사랑해서 떠난다며
눈물짓던 그대의 말을 믿을 수 없죠
하지만 나의 전부였던
그대가 힘들어하기에 잡을 수 없었죠
온통 너와의 기억뿐인 
나를 위해서였다면
조금씩 무너져가는 날 
날 위한다면
이대로 내 곁에 있어야 해요
나를 떠나면 안 돼요
세상의 모든 걸 잃어도 괜찮아요
그대만 있다면 그대만 있다면
함께 웃던 시간들을
함께했던 약속들을
지금 또 영원히 기억하겠어요
다시 한번 생각해요
무엇이 날 위한 건지 
그대는 알고 있어요
영원히 내 곁을 지켜주세요
나를 떠나지 말아요
세상의 모든 걸 잃어도 난 좋아요
그대만 있다면 그대만 있다면
온통 그대의 생각뿐인 
나를 위해서였다면
초라하게 쓰러지는 날
날 위한다면 
이대로 내 곁에 있어야 해요
나를 떠나면 안 돼요
세상의 모든 걸 잃어도 괜찮아요
그대만 있다면 그대만 있다면
영원히 내 곁을 지켜주세요
나를 떠나지 말아요
세상의 모든 걸 잃어도 난 좋아요
그대만 있다면 그대만 있다면","[0.07801794858862489, 0.5124641416798643, 0.038453489867432994, 0.15761151411774862, 0.04610562636763481, 0.16734727937869434]"
36382580,헤어지자 말해요,박재정,"헤어지자고 말하려 오늘
너에게 가다가 우리 추억 생각해 봤어
처음 본 네 얼굴
마주친 눈동자
가까스로 본 너의 그 미소들
손을 잡고 늘 걷던 거리에
첫눈을 보다가 문득 고백했던 그 순간
가보고 싶었던 식당
난생처음 준비한 선물
고맙다는 너의 그 눈물들이
바뀔까 봐 두려워
그대 먼저 헤어지자 말해요
나는 사실 그대에게 좋은 사람이 아녜요
그대 이제 날 떠난다 말해요
잠시라도 이 행복을 느껴서 고마웠다고
시간이 지나고 나면 나는
어쩔 수 없을 걸 문득 너의 사진 보겠지
새로 사귄 친구 함께
웃음 띤 네 얼굴 보면
말할 수 없을 묘한 감정들이
힘들단 걸 알지만
그대 먼저 헤어지자 말해요
나는 사실 그대에게 좋은 사람이 아녜요
그대 이제 날 떠난다 말해요
잠시라도 이 행복을 느껴서 고마웠다고
한 번은 널 볼 수 있을까
이기적인 거 나도 잘 알아
그땐 그럴 수밖에 없던
어린 내게 한 번만 더 기회를 주길
그댈 정말 사랑했다 말해요
나는 사실 그대에게
좋은 사람이 되고 싶었어
영영 다신 못 본다 해도
그댈 위한 이 노래가
당신을 영원히 사랑할 테니","[0.10236747065254316, 0.33407577191040483, 0.11329012328616922, 0.20065138509926397, 0.1658776226181085, 0.08373762643351026]"
37023625,비의 랩소디,임재현,"이젠 눈물 그쳐 나를 봐요
우는 그대 더 아름다워
내게 이 모습조차 더 남지 않도록
그냥 고개 돌려요
그저 미안한 마음뿐이죠
그댈 위해 해줄 게 없어
모두 이해할게요 그댈 아끼는 맘
그분들도 같을 거란 걸
한참 동안을 비틀거렸죠
그댈 사랑했던 그만큼
떠나가요 아주 먼 곳으로
그대 소식 내게 올 수 없을 그만큼
다 잊어요 내겐 마지막이 될
사람도 모두 다 버려두고 갈게요
나를 위해 많이 애썼단 걸
알고 있죠 난 감사해요
허나 이룰 수 없는 건 어쩔 수 없죠
내가 용기 낼게요 이젠
죽는 날까지 사랑한대도
가질 수 없는 그대인걸
떠나가요 아주 먼 곳으로
그대 소식 내게 올 수 없을 그만큼
다 잊어요 내겐 마지막이 될
사람도 모두 다 버려두고 갈게요
떠나가요 아주 먼 곳으로
그대 소식 내게 올 수 없을 그만큼
혹시라도 내가 그리울 때면
세상에 내가 없다고 믿어요","[0.07920429197832408, 0.6461619964823297, 0.051008153648417195, 0.13747883747033082, 0.08485503151320647, 0.001291688907391676]"
4446485,너의 모든 순간,성시경,"이윽고 내가 한눈에
너를 알아봤을 때
모든 건 분명 달라지고 있었어
내 세상은 널 알기 전과 후로 나뉘어
니가 숨 쉬면 따스한 바람이 불어와
니가 웃으면 눈부신 햇살이 비춰
거기 있어줘서 그게 너라서
가끔 내 어깨에 가만히 기대주어서
나는 있잖아 정말 빈틈없이 행복해
너를 따라서 시간은 흐르고 멈춰
물끄러미 너를 들여다 보곤 해
그것 말고는 아무것도 할 수 없어서
너의 모든 순간 그게
나였으면 좋겠다
생각만 해도 가슴이 차올라
나는 온통 너로
보고 있으면 왠지 꿈처럼 아득한 것
몇 광년 동안 날 향해 날아온 별빛 
또 지금의 너
거기 있어줘서 그게 너라서
가끔 나에게 조용하게 안겨주어서
나는 있잖아 정말 남김없이 고마워
너를 따라서 시간은 흐르고 멈춰
물끄러미 너를 들여다보곤 해
너를 보는 게 나에게는 사랑이니까
너의 모든 순간 그게
나였으면 좋겠다
생각만 해도 가슴이 차올라
나는 온통 너로
니 모든 순간 나였으면","[0.09832737671346893, 0.19077836879590973, 0.02615681961956093, 0.0742205662861236, 0.03992210228321152, 0.5705947663017253]"
34061322,사랑은 늘 도망가,임영웅,"눈물이 난다 이 길을 걸으면
그 사람 손길이 자꾸 생각이 난다
붙잡지 못하고 가슴만 떨었지
내 아름답던 사람아
사랑이란 게 참 쓰린 거더라
잡으려 할수록 더 멀어지더라
이별이란 게 참 쉬운 거더라
내 잊지 못할 사람아
사랑아 왜 도망가
수줍은 아이처럼
행여 놓아버릴까 봐
꼭 움켜쥐지만
그리움이 쫓아 사랑은 늘 도망가
잠시 쉬어가면 좋을 텐데
바람이 분다 옷깃을 세워도
차가운 이별의 눈물이 차올라
잊지 못해서 가슴에 사무친
내 소중했던 사람아
사랑아 왜 도망가
수줍은 아이처럼
행여 놓아버릴까 봐
꼭 움켜쥐지만
그리움이 쫓아 사랑은 늘 도망가
잠시 쉬어가면 좋을 텐데
기다림도 애태움도 다 버려야 하는데
무얼 찾아 이 길을 서성일까
무얼 찾아 여기 있나
사랑아 왜 도망가
수줍은 아이처럼
행여 놓아버릴까 봐
꼭 움켜쥐지만
그리움이 쫓아 사랑은 늘 도망가
잠시 쉬어가면 좋을 텐데
잠시 쉬어가면 좋을 텐데","[0.05349795578052533, 0.7080608518081762, 0.06664281438295969, 0.10828050905487861, 0.06108317617661993, 0.0024346927968402067]"
