title,artist,lyrics,score
LIE,EXID,"이 밤에 대체 어디 연락해
참 아는 여자 동생들 많네
GO AWAY
내 친구가 널 길에서 봤대
네가 내게 잔다고 한 그때
GO AWAY
LIE LIE LIE LIE EH EH
혼자 방 안에서 한참 울고 있는데
밤새 풀리지 않는
기분때문에 그지같아
나 어떡해 어떡해
도저히 더는 참을 수 없는데
BABY I Know I Know I Know 네 거짓말
이제 네가 숨 쉬는 것도 싫어
스치는 것조차 난 싫어 Baby Baby know
BABY I Know I Know
널 생각할수록 더
나를 더 미치게 만드는 너의
LIE LIE LIE LIE EH EH
LIE LIE LIE LIE
LIE LIE LIE LIE EH EH
LIE LIE LIE LIE EH EH
NO NO BOY NO MORE
더는 못 숨어 Zoomer
꼭꼭 더 숨어 다 찾아낼 걸 널 Sooner
또 배우네 난 시원해 네가 다 지어낸
네 가짜 소설 아 무서워 Overdoser man
내 박수 보낼게 Clap clap clap
넌 남우주연상
타고도 남을 연기했네
넌 마치 흡연자
모두가 피해 더 지나치게
벌 받아야지 넌 싸
짐 싹 다 챙겨나가
더 이상 별 볼일 없으니까
BABY I Know I Know I Know 네 거짓말
이제 네가 숨 쉬는 것도 싫어
스치는 것조차 난 싫어 Baby Baby know
BABY I Know I Know
널 생각할수록 더
나를 더 미치게 만드는 너의
LIE LIE LIE LIE EH EH
LIE LIE LIE LIE EH EH
너 죽을 때까지 이렇게 살다가
지옥 가길 기도해 GO TO HELL GO AWAY
OH BABY 그대여
너는 태어나질 말았어야 해요
나 어떡해 어떡해
미치도록 꼴도 보기 싫은데
BABY BABY I Know I Know I Know 네 거짓말
이제 네가 숨 쉬는 것도 싫어
스치는 것조차 난 싫어 Baby Baby know
BABY I Know I Know
널 생각할수록 더
나를 더 미치게 만드는 너의
LIE LIE LIE LIE EH EH","[0.4323976372986013, 0.18995594053199716, 0.03970206019916965, 0.1087110931614482, 0.10920401752872012, 0.12002925128006355]"
거짓말 거짓말 거짓말,이적,"다시 돌아올 거라고 했잖아
잠깐이면 될 거라고 했잖아
여기 서 있으라 말했었잖아
거짓말 거짓말 거짓말
물끄러미 선 채 해가 저물고
웅크리고 앉아 밤이 깊어도
결국 너는 나타나지 않잖아
거짓말 음 거짓말
우우 그대만을
하염없이 기다렸는데
우우 그대 말을
철석같이 믿었었는데
우우우우우
찬 바람에 길은 얼어붙고
우우우우우
나도 새하얗게 얼어버렸네
내겐 잘못이 없다고 했잖아
나는 좋은 사람이라 했잖아
상처까지 안아준다 했잖아
거짓말 거짓말 음
다시 나는 홀로 남겨진 거고
모든 추억들은 버리는 거고
역시 나는 자격이 없는 거지
거짓말 음
우우 그대만을
하염없이 기다렸는데
우우 그대 말을
철석같이 믿었었는데
우우우우우
찬 바람에 길은 얼어붙고
우우우우우
나도 새하얗게 얼어버렸네
철석같이 믿었었는데
거짓말 거짓말 거짓말","[0.1797916098493941, 0.3012825724969432, 0.12991836966913167, 0.3422281402146839, 0.04221429749712367, 0.0045650102727234935]"
뭣같아,보이넥스트도어,"입이 거친 게 싫다던 너 때문에
화가 나도 욕을 못 하고
너 기대라고 넓혀놓은 내 어깨는 이젠
지하철 속 장애물일 뿐이야 

You’re so bad, you know 뻔뻔하게
거짓말로 돌려막고
낯선 향기만 묻혀오니
사랑 따위 하지 말지

그래 오히려 좋지
시원하게 욕이나 뱉지
I swear you never regret it
나만 바보였지

다 뭣 같아
다정했던 사진 속 네 모습이
다 똑같아
이번엔 다를 거라 했었던 말도

Sometime 꺼져버려 제발
But sometimes 네가 보고 싶다

Okay cut, I’m out 이게 마지막 에피소드
홀가분하게 밀린 영화 드라마 때리고
헌신짝 됐으니 다 새로 꾸며야지
옷차림도 머리도 걷는 폼까지도

(Alright) 그래 네가 못된 게 아냐
내가 못났다 치자
(Alright) 좋은 친구로는 못 남겠다 la la da da

I’m so dumb, you know 멍청하게
네 번호 하나 못 지우고
멀쩡하겠니 생각해 봐
사랑 따위 하지 말지

그래 오히려 좋지
시원하게 욕이나 뱉지
같잖은 눈물 말고
네 진심이 뭔데

다 뭣 같아
다정했던 사진 속 네 모습이
다 똑같아
이번엔 다를 거라 했었던 말도

Sometime 꺼져버려 제발
But sometimes 네가 보고 싶다

난 요즘 살만해 uh oh oh
살도 좀 붙었고 uh oh
친구도 만나
지호, 문성이, Jamie, Sandy
근데 넌

매일 운다고 번진 마스카라에
땅을 친다고 기분이 참 속이 뚫려 뻥

Oh I could’ve died for you
이제서야 넌
Oh 아까운 것 같니 why are you selfish

왜 이제서야 넌
사양할게
난 너 없이도","[0.5610379496182204, 0.14514646670904344, 0.0507754774949329, 0.10838319970214129, 0.09749994088561972, 0.03715696559004229]"
나의 사춘기에게,볼빨간 사춘기,"나는 한때 내가 이 세상에
사라지길 바랬어
온 세상이 너무나 캄캄해
매일 밤을 울던 날
차라리 내가 사라지면
마음이 편할까
모두가 날 바라보는 시선이
너무나 두려워
아름답게 아름답던
그 시절을 난 아파서
사랑 받을 수 없었던
내가 너무나 싫어서
엄마는 아빠는 다
나만 바라보는데
내 마음은 그런 게 아닌데
자꾸만 멀어만 가
어떡해 어떡해 어떡해 어떡해
시간이 약이라는 말이
내게 정말 맞더라고
하루가 지나면 지날수록
더 나아지더라고
근데 가끔은 너무 행복하면
또 아파올까 봐
내가 가진 이 행복들을
누군가가 가져갈까 봐
아름다운 아름답던
그 기억이 난 아파서
아픈 만큼 아파해도
사라지지를 않아서
친구들은 사람들은 다
나만 바라보는데
내 모습은 그런 게 아닌데
자꾸만 멀어만 가
그래도 난 어쩌면
내가 이 세상에
밝은 빛이라도 될까 봐
어쩌면 그 모든 아픔을
내딛고서라도
짧게 빛을 내볼까 봐
포기할 수가 없어
하루도 맘 편히 잠들 수가 없던 내가
이렇게라도 일어서 보려고 하면
내가 날 찾아줄까 봐
아아아아아아아 아아아아아아아
아아아아아아아 아아아아아아아
얼마나 얼마나 아팠을까
얼마나 얼마나 아팠을까
얼마나 얼마나 얼마나 바랬을까","[0.1607705700462454, 0.4793840071276067, 0.10356907772022196, 0.1448223750650279, 0.09302689951557337, 0.01842707052532468]"
행복,레드벨벳,"고민은 Blow Up
꿀꿀한 기분 Change Up
힘을 내려고 이제 Windup
한 방에 멋진 일이 가득
Straight Up
난 매일 더 Style Up 기분 Up
되는 일에 집중
내가 행복하게 사는
비결을 좀 말해볼까
아침에 난 잠을 깨
엄마께 사랑한다고 말해
어휴 착한 내 딸아
졸졸 나를 따라온 Happy가
넘 귀여워서 행복해
Uh 얘가 말한대
이런 Money 저런 Power 그것만
따 따 따 따라가다
어른들이 짠해 보여
그들은 정말 행복하지 않아
기쁜 일이 멋진 일이
세계는 참 참 참 많은 데라
그런 Money 그런 Power
우리는 관심도 끊어버린지 오래
달라 달라 나는 좀 해보고 싶음
그냥 하고 말지
고민 고민 하다가 어른이 되면
후회 많을텐데
어제 오늘 내일도 행복을 찾는
나의 모험일기
달라 달라 나는 좀 긍정의 힘을
나는 믿고 있지
La La La La La La La La La La
Happiness
La La La La La La La La La La
난 원해
La La La La La La La La La La
꿈 꾸자
La La La La La La La La La La
Uh Are You Happy Uh
학교 가는 길에 만난 친구
내게 달려와서 팔짱 끼고
웃어주니 좋고
끼리끼리 모여 장난치던
남자애들 내가 지나가니
의식해서 좋고
잔소리 하지만 세상에서
내가 제일 좋단 엄마
Hey Hey TV속에 싸움밖에
모르는 어른들 빼
점점 더 좋은걸 난 나라서 행복해
더 기분 좋은 건 내 곁에 너 있단 거
Uh What You Wanna Be
이런 Money 저런 Power
그것만 따 따 따 따라가다
어른들이 짠해 보여
그들은 정말 행복하지 않아
기쁜 일이 멋진 일이
세계는 참 참 참 많은 데라
그런 Money 그런 Power
우리는 관심도 끊어버린지 오래
달라 달라 나는 좀 해보고 싶음
그냥 하고 말지
고민 고민 하다가 어른이 되면
후회 많을텐데
어제 오늘 내일도 행복을 찾는
나의 모험일기
달라 달라 나는 좀 긍정의 힘을
나는 믿고 있지
La La La La La La La La La La
Happiness
La La La La La La La La La La
난 원해
La La La La La La La La La La
꿈 꾸자
La La La La La La La La La La
Uh Are You Happy Uh
Shine On Me Let It Shine On Me Yeah
내 품에 Let It Shine
Shine On Me Let It Shine On Me Yeah
내 두 팔에 Let It Shine
La La La La La La La La La La
Happiness
La La La La La La La La La La
난 원해
La La La La La La La La La La
꿈 꾸자","[0.09024745953817791, 0.13574464498675906, 0.05058300704320222, 0.07601514489449396, 0.08375881363232655, 0.5636509299050403]"
이게 무슨 일이야,B1A4,"every day yeah yeah yeah yeah
야 너 똑바로 말해 어디야
어딘데 집이지 지금 어딘데
자꾸 왔다 갔다 뭐라는 거야
이상해 정말 이상해
오늘따라 너의 목소리가
떨리는 거 모르니
입만 열면 너는 매일 거짓말
눈만 뜨면 너는 매일 거짓말
틈만 나면 너는 매일 거짓말
이제 나는 알았어
그럴 줄 알았어
이게 무슨 일이야
이렇게 좋은 날에
이게 무슨 일이야
이렇게 좋은 날에
you baby
I want you beautiful love hey
wassup wassup
tell me tell me wassup
이게 무슨 일이야
이렇게 좋은 날에
이게 무슨 일이야
이렇게 좋은 날에
you baby
I want you beautiful love hey
wassup wassup
tell me tell me wassup
야 너 솔직히 말해 누구야
누군데 그리 자연스러워 팔짱
아무리 잘해 줘 봤자
말짱 꽝이야
이게 다 누구의 탓이야
다 퍼준 게 죄 이건 아니야
이렇게 될 거라고 생각은 했지만
될 거라곤 몰랐네 꿈에도
밥이나 먹어야지 근데 뭐 먹지
맘은 아픈데 woo hoo
비만 내리네 woo hoo
나는 이런데 넌 웃고 있겠지
oh no
입만 열면 너는 매일 거짓말
눈만 뜨면 너는 매일 거짓말
틈만 나면 너는 매일 거짓말
이제 나는 알았어
그럴 줄 알았어
이게 무슨 일이야
이렇게 좋은 날에
이게 무슨 일이야
이렇게 좋은 날에
you baby
I want you beautiful love hey
wassup wassup
tell me tell me wassup
가기 전에 돌아서기 전에
내게로 돌아와요
baby girl
alright
늘 밝지 않아도 좋아
날 찾지 않아도 좋아
널 쳐다만 봐도 좋아 난
falling in love
falling in love
you woo woo woo
이게 무슨 일이야
이렇게 좋은 날에
이게 무슨 일이야
이렇게 좋은 날
너는 왜
yeah yeah yeah yeah
wassup wassup
tell me tell me wassup
이게 무슨 일이야
이렇게 좋은 날에
이게 무슨 일이야","[0.21521156111429215, 0.12080612047747948, 0.10041100467649847, 0.12780214911160115, 0.09988779913081978, 0.33588136548930897]"
좋지 아니한가,유다빈 밴드,"나무가 사라져간 산길
주인 없는 바다
그래도 좋지 아니한가
내 마음대로 되는 세상
밤이 오면 싸워왔던 기억
일기를 쓸만한 노트와
연필이 생기지 않았나
내 마음대로 그린 세상
저 푸른 하늘 구름 위에
독수리 높이 날고
카우보이 세상을 삼키려 하고
총성은 이어지네
TV 속에 싸워 이긴 전사
일기 쓰고 있는 나의 천사
도화지에 그려질 모습
그녀가 그려갈 세상
우린 노래해 더 나아질 거야
우린 추억해
부질없이 지난날들
바보같이 지난날들
그래도 우린 좋지 아니한가
바람에 흐를 세월 속에
우리 같이 있지 않나
이렇게 우린 웃기지 않는가
울고 있었다면
다시 만날 수 없는 세상에
우린 태어났으니깐
우린 노래해 더 나아질 거야
우린 추억해
부질없이 지난날들
바보같이 지난날들
그래도 너는 좋지 아니한가
강물에 넘칠 눈물 속에
우리 같이 있지 않나
이렇게 우린 웃기지 않는가
울고 있었다면
다시 만날 수 없는 세상이
멋지지 않았는가
아아아
그녀가 그려 갈 세상","[0.052540359596456324, 0.37576723311919114, 0.020400331134286354, 0.052081511243190916, 0.032047311506241793, 0.46716325340063347]"
인생은 나쁜X,비비 (BIBI),"나를 현혹시켜 넌 Baby
나를 취하게해 넌 Baby
내 정신을 흐리게 해 Baby
곁에 맴을 도는게 Baby
하마터면 또 넘어갈 뻔 했어
하마터면 또 네게 속을 뻔 했어
너 같은 애라면 목숨 걸 수 있어
라고 하며 나 또 네게 갈 뻔했어
야! 인생은 나를 놀래키려 하지만
Sex Money Murder 나를 중독시키지만
야 야 인생은 나를 휘두르려 하지만
Jump scare, Jump scare
따위엔 안 당하지 난
Cuz I've been the rim of the world
Cuz I've been the rim of my life
Cuz I've been 6 feet under
and I've been 9 feet upward
하마터면 또 네 거짓말에 홀려
빤스까지 머리 위에 쓸 뻔 했어
너 같은 애라면 믿어볼 수 있어
라고 하며 나 또 네게 갈 뻔했어
음! 인생은 나를 깜빡 속게 하지만
내 간을 엿 바꿔 먹으려 하지만
별거 아니라고 나를 타이르지만
네가 지나가고 나면 남아 껍질만
But I've been the rim of the world
But I've been the rim of my life
Cuz I've been 6 feet under
And I've been 9 feet upward
야! 인생은 나를 놀래키려 하지만
Sex Money Murder 나를 중독시키지만
야 야 인생은 나를 휘두르려 하지만
Jump scare, Jump scare
따위엔 안 당하지 난
Cuz I've the been
the rim of the world
Cuz I've the been
the rim of my life
I've been 6 feet under
But I’m 9 feet upward","[0.22873993959251449, 0.1500712255175437, 0.1394444529561741, 0.11712331160429798, 0.07712917451223882, 0.2874918958172309]"
NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,"미안해
하나도 하나도
아무것도 미안하지가 않아서
그저 나답게 살아가고픈 것뿐 oh
엄마 나 힙합 관둘게
혼자서만 도태된 것 같애
다들 폭죽 터트리고 벌려 축제
진심은 전부 곡해돼
사랑은 왜곡돼
모든 게 다 쉽게 변해 플라스틱 같애
Look u in the mirror
You're the human being too
철없긴 똑같지
다 곁눈질 뿐
원리원칙에 갇힌
빈 깡통 덩어리 이리저리 굴러
온 세상을 휙 뒤집어 놓지
""스타일 바꿔 마인드 바꿔
이참에 챙겨 눈치도""
""다리 떨지 말고 살 좀 빼
동네 창피스러워""
""어깨 힘은 좀 빼""
""어차피 니가 뱉는 구절 전부
힙합 아니니까 밥그릇 치워""
Man I don't give a about
what u said
우리 엄마 말도 잘 안 듣던 내가
니 말은 왜?
Hip-hop? Not hip-hop?
I don't mind it
차례대로 퇴장해 난 아냐
네 오마카세
I don't care
I don't care
About what people said!
Nah
I don't give a about what you said
I’m not sorry
머릿속엔 언제나
Only me myself and I
Don't worry
철없게 살아도
어쩌겠어
I'm the only one
미안해
하나도 하나도
아무것도
미안하지가 않아서
그저 나답게 살아가고픈 것뿐 oh
잘 웃으니까 내가
참 바보 같나 봐
나에 대해서 잘 알지도 못하면서
Always killing my vibe
뭐라도 되는 줄 아나 봐
Feeling like you becoming somebody
하지만 그건 너의 착각
나 물어볼 게 있어
삿대질 자격 어딨어
날 가르쳐 들려 하지 마
You ain't my teacher
I'll school you
넌 왈가왈부
할 짓 없이 그냥 말만 많구
Say what?
""pH-1 쇼미 피처링
제발 좀 그만 나와""
""노래도 못하면서 싱잉 하는
복면가왕""
""자극적이지 않아,
재미없어 He need drama""
괜찮아, 난 모든 일에
내 진심을 담아
But looky
내 무기는 두 귀를 닫은 채
눈치 안 보기
헛수고해 버린 losers 물어봐 후기
My mercy, I'm cruising
목걸이는 Real Cuban
쉬워 보이면 너가 해봐
Come and show it
I'm proven
적당히 맞추면서 살아가
일일이 다 설명하기엔 내 입이 아파
I'm always tryna live my own life
내 앞가림하기에도 난 충분히 바빠
난 나를 속여가면서
바뀌고 싶진 않아
너 아니어도
날 사랑해 주는 사람들 많아
I don't care (I don't care)
what you say (what you say)
I don't give a about what you said
I'm not sorry
머릿속엔 언제나
Only me myself and I
Don't worry
철없게 살아도
어쩌겠어
I'm the only one
미안해
하나도 하나도
아무것도
미안하지가 않아서
그저 나답게 살아가고픈 것뿐
Look,
I wish that I could be the only one
Who get a lot of love, no hate
But 어려워
내 나이 21
And I got a lot of problem to solve
길 잃은 청춘이지만
그게 내 길이고
우린 반의 반쪽짜리 육체를 다듬어
당당히 날 몰아붙인
위선과 거짓 다 깔고 기립해
막연히 끄덕이고 조아리긴
죽기보다 싫으니
I don't give a about what u said
I’m not sorry
머릿속엔 언제나
Only me myself and I
Don't worry
철없게 살아도
어쩌겠어
I'm the only one
미안해
하나도 하나도
아무것도
미안하지가 않아서
그저 나답게 살아가고픈 것뿐 oh
I'm not sorry
Don't worry
미안해
하나도 하나도
아무것도
미안하지가 않아서
그저 나답게 살아가고픈 것뿐 oh","[0.4541054805863958, 0.17608285230764456, 0.08607903985034664, 0.10326420624173129, 0.16335734633384882, 0.017111074680032905]"
어떻게 말해,DAY6 (데이식스),"I hate me now
설레지 않는 내가 싫어
내 마음이 언젠가부터
더는 반응하질 않아 eh
Hate me now
식어버렸으면 좋겠어
나를 보는 그 눈빛에
사랑이 없으면 좋겠어
Baby 넌 참 해맑게
날 사랑한대
나도 라고 말하고 싶어
no no no
넌 따뜻하게
날 바라볼 때
이미 끝나 버렸단 걸 알까
Sorry
어떻게 말해
넌 아직도
나와 함께 할 때 마다
행복해 하는데
어떻게 말해
내 마음은
이미 떠났다는 말
차마 나오지가 않아
Oh how can I say
I hate me now
이런 내가 너무나 미워
너와 떨어져 있을 때
편하게 느껴지는 내가 eh
Hate me now
눈치를 챘으면 좋겠어
한없이 맑은 눈으로
미소를 보이지 말아줘
Baby 넌 참 해맑게
날 사랑한대
나도 라고 말하고 싶어
no no no
넌 따뜻하게
날 바라볼 때
이미 끝나버렸단 걸 알까
Sorry
어떻게 말해
넌 아직도
나와 함께 할 때 마다
행복해 하는데
어떻게 말해
내 마음은
이미 떠났다는 말
차마 나오지가 않아
Oh how can I say
I don’t love you no more
no more
I don’t love you no more
널 사랑하고 싶어도 할 수가 없어
I don’t love you no more
이미 떠버린 내 맘
I don’t love you no more
I can’t love you no more
어떻게 말해
넌 아직도
나와 함께 할 때 마다
행복해 하는데
어떻게 말해
내 마음은
이미 떠났다는 말
차마 나오지가 않아
Oh how can I","[0.38410729728086696, 0.26097757792875526, 0.06534423494279903, 0.16892362252944026, 0.10751924799711737, 0.013128019321021128]"
